Date,OrderID,Customer,Region,Channel,Segment,Category,Product,Quantity,UnitPrice,Discount,Sales,Cost,Profit,MarketingSpend,CustomerSince
2025-02-28,ORD-100000,C-4849,APAC,Affiliate,Enterprise,Home,Beacon Lamp,1,192,0,192,144.33,47.67,15.88,2023-04-16
2025-02-28,ORD-100001,C-4823,North America,Email,Enterprise,Home,Nest Sensor,3,64,0,192,102.83,89.17,18.79,2024-10-23
2025-03-01,ORD-100002,C-4913,APAC,Affiliate,SMB,Wearables,Pulse Band,1,105,0,105,56.39,48.61,6.77,2025-02-22
2025-03-01,ORD-100003,C-4845,North America,Affiliate,SMB,Wearables,Aura Watch,1,329,0.050401459854014605,312.42,178.87,133.55,31.31,2024-01-19
2025-03-01,ORD-100004,C-4436,North America,Paid Search,Enterprise,Accessories,Shield Case,2,204,0.1501094890510949,346.76,275.78,70.98,38.2,2024-01-30
2025-03-01,ORD-100005,C-4909,North America,Organic,Enterprise,Accessories,Flux Cable,3,93,0,279,171.28,107.72,0,2025-03-29
2025-03-01,ORD-100006,C-4939,EMEA,Affiliate,Enterprise,Audio,Halo Headset,7,125,0,875,508.35,366.65,94.34,2023-01-02
2025-03-01,ORD-100007,C-4526,North America,Organic,SMB,Wearables,Pulse Band,1,105,0,105,56.39,48.61,0,2023-09-10
2025-03-01,ORD-100008,C-4677,North America,Affiliate,SMB,Wearables,Nimbus Ring,3,245,0.09,668.85,536.46,132.39,58.05,2024-05-23
2025-03-02,ORD-100009,C-4231,North America,Social,SMB,Audio,Halo Headset,2,125,0.08,230,145.24,84.76,24.73,2023-10-15
2025-03-02,ORD-100010,C-4256,APAC,Paid Search,Consumer,Accessories,Flux Cable,1,93,0.04021897810218978,89.26,57.09,32.17,9.85,2024-11-28
2025-03-02,ORD-100011,C-4208,EMEA,Organic,Enterprise,Accessories,Orbit Dock,9,208,0.06,1759.68,1079.7,679.98,0,2024-04-15
2025-03-02,ORD-100012,C-4338,APAC,Email,Enterprise,Wearables,Pulse Band,4,105,0.07,390.6,225.56,165.04,35.6,2023-12-16
2025-03-03,ORD-100013,C-4799,APAC,Email,SMB,Home,Vista Hub,1,214,0,214,151.52,62.48,20,2024-02-20
2025-03-03,ORD-100014,C-4869,EMEA,Social,Consumer,Wearables,Aura Watch,1,329,0.1012043795620438,295.7,178.96,116.74,18.91,2023-11-29
2025-03-03,ORD-100015,C-4896,EMEA,Email,SMB,Accessories,Shield Case,2,204,0.02,399.84,275.78,124.06,29.15,2025-07-05
2025-03-03,ORD-100016,C-4546,APAC,Paid Search,SMB,Home,Vista Hub,2,214,0.07032846715328468,397.9,303.03,94.87,43.97,2025-05-03
2025-03-03,ORD-100017,C-4927,EMEA,Email,Enterprise,Wearables,Pulse Band,8,105,0,840,451.12,388.88,67.09,2023-04-29
